children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,age_range,debt_name,children_range,income_range,purpose_classified,creditworthy
0,39.0,21,secondary education,1,married,0,M,employee,1,101691.10790541586,car purchase,20-30,deudor,sin hijos,27000+,car,1
0,69.0,48,secondary education,1,married,0,M,partner,1,143991.32734278985,cars,40-50,deudor,sin hijos,27000+,car,1
0,8.0,51,secondary education,1,married,0,M,partner,1,211795.50286227965,purchase of the house for my family,50-60,deudor,sin hijos,27000+,real estate,1
0,76.0,31,secondary education,1,unmarried,4,M,employee,1,61455.567927878605,housing transactions,30-40,deudor,sin hijos,27000+,real estate,1
2,166.0,31,secondary education,1,married,0,F,employee,1,111077.01348876976,purchase of the house,30-40,deudor,con hijos,27000+,real estate,1
0,16669.0,64,secondary education,1,married,0,M,retiree,1,74210.49028608606,housing transactions,60+,deudor,sin hijos,27000+,real estate,1
2,18.0,27,secondary education,1,married,0,F,employee,1,88136.54356398199,housing,20-30,deudor,con hijos,27000+,real estate,1
0,143.0,35,masters degree,0,civil partnership,1,F,partner,1,215533.9953432801,transactions with the residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
0,45.0,45,secondary education,1,married,0,M,employee,1,123882.9477357476,transactions with the residential real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,50.0,38,primary education,3,married,0,M,employee,1,159707.78835366652,getting higher education,30-40,deudor,sin hijos,27000+,education,1
0,88.0,50,secondary education,1,civil partnership,1,M,partner,1,374793.41250319313,getting higher education,50-60,deudor,sin hijos,27000+,education,1
0,14415.0,56,secondary education,1,married,0,F,retiree,1,70972.67397038988,building a real estate,50-60,deudor,sin hijos,27000+,real estate,1
2,11.0,29,secondary education,1,divorced,3,M,employee,1,218411.90604257613,supplementary education,20-30,deudor,con hijos,27000+,education,1
0,7.0,26,secondary education,1,married,0,M,partner,1,219597.1346541201,real estate transactions,20-30,deudor,sin hijos,27000+,real estate,1
0,223.0,30,secondary education,1,divorced,3,M,civil servant,1,195043.2223992717,to get asupplementary education,30-40,deudor,sin hijos,27000+,education,1
1,72.0,24,secondary education,1,married,0,F,partner,1,251702.0550331515,property renovation,20-30,deudor,con hijos,27000+,real estate,1
0,44.0,48,secondary education,1,unmarried,4,F,employee,1,124997.97111078788,purchase of a car,40-50,deudor,sin hijos,27000+,car,1
0,16134.0,58,secondary education,1,married,0,F,retiree,1,185475.347087728,purchase of the house for my family,50-60,deudor,sin hijos,27000+,real estate,1
1,19.0,38,masters degree,0,civil partnership,1,M,partner,1,153357.14382195426,wedding ceremony,30-40,deudor,con hijos,27000+,wedding,1
2,5.0,31,secondary education,1,divorced,3,F,employee,1,65041.84368359406,going to university,30-40,deudor,con hijos,27000+,education,1
1,18.0,40,secondary education,1,married,0,F,employee,1,162269.38095968438,transactions with the residential real estate,40-50,deudor,con hijos,27000+,real estate,1
1,5.0,42,secondary education,1,married,0,M,employee,1,197850.42386513387,second-hand car purchase,40-50,deudor,con hijos,27000+,car,1
0,7.0,54,masters degree,0,unmarried,4,M,employee,1,191487.98651913903,to get asupplementary education,50-60,deudor,sin hijos,27000+,education,1
1,12.0,34,secondary education,1,civil partnership,1,M,employee,1,115977.48213091335,to have a wedding,30-40,deudor,con hijos,27000+,wedding,1
0,14.0,65,masters degree,0,married,0,M,civil servant,1,79321.69546456501,purchase of my own house,60+,deudor,sin hijos,27000+,real estate,1
0,118.0,42,secondary education,1,married,0,M,partner,1,248041.3174690041,buying my own car,40-50,deudor,sin hijos,27000+,car,1
0,27.0,44,masters degree,0,married,0,M,employee,1,91894.27516305105,transactions with my real estate,40-50,deudor,sin hijos,27000+,real estate,1
0,18.0,51,masters degree,0,unmarried,4,M,partner,1,331354.7975440255,purchase of the house for my family,50-60,deudor,sin hijos,27000+,real estate,1
0,50.0,57,secondary education,1,civil partnership,1,M,employee,1,221102.53738468228,buying my own car,50-60,deudor,sin hijos,27000+,car,1
0,14225.0,58,masters degree,0,married,0,F,retiree,1,224659.18353122903,buy commercial real estate,50-60,deudor,sin hijos,27000+,real estate,1
2,172.0,31,secondary education,1,married,0,M,employee,1,116603.4169389001,going to university,30-40,deudor,con hijos,27000+,education,1
0,15.0,45,secondary education,1,unmarried,4,M,employee,1,76935.17749430603,transactions with the residential real estate,40-50,deudor,sin hijos,27000+,real estate,1
2,138.0,37,primary education,3,married,0,M,employee,1,117314.5185519541,building a property,30-40,deudor,con hijos,27000+,real estate,1
2,63.0,27,secondary education,1,married,0,M,partner,1,141587.33718890275,buy real estate,20-30,deudor,con hijos,27000+,real estate,1
0,167.0,64,primary education,3,divorced,3,F,employee,1,165149.07978526625,housing transactions,60+,deudor,sin hijos,27000+,real estate,1
1,199.0,38,bachelor degree,2,civil partnership,1,F,employee,1,134295.18389597154,profile education,30-40,deudor,con hijos,27000+,education,1
0,41.0,23,secondary education,1,civil partnership,1,M,employee,1,91462.15178606074,wedding ceremony,20-30,deudor,sin hijos,27000+,wedding,1
1,163.0,50,secondary education,1,unmarried,4,F,partner,1,108162.86307996477,transactions with my real estate,50-60,deudor,con hijos,27000+,real estate,1
0,29.0,31,bachelor degree,2,married,0,F,employee,1,123534.58376920366,car purchase,30-40,deudor,sin hijos,27000+,car,1
0,23.0,21,bachelor degree,2,unmarried,4,F,employee,1,138796.26391856672,getting an education,20-30,deudor,sin hijos,27000+,education,1
2,139.0,36,secondary education,1,married,0,F,partner,1,294750.59766671393,housing,30-40,deudor,con hijos,27000+,real estate,1
1,15.0,23,secondary education,1,married,0,F,partner,1,110463.39853283452,purchase of the house,20-30,deudor,con hijos,27000+,real estate,1
0,13858.0,55,secondary education,1,widow / widower,2,F,retiree,1,111619.38401812749,building a property,50-60,deudor,sin hijos,27000+,real estate,1
4,30.0,33,secondary education,1,unmarried,4,F,employee,1,78900.83256549381,housing,30-40,deudor,con hijos,27000+,real estate,1
0,58.0,57,secondary education,1,widow / widower,2,M,partner,1,164340.63668622138,property renovation,50-60,deudor,sin hijos,27000+,real estate,1
1,158.0,40,secondary education,1,married,0,M,partner,1,113508.64638347186,building a property,40-50,deudor,con hijos,27000+,real estate,1
0,14.0,50,secondary education,1,married,0,F,employee,1,282539.6583658644,profile education,50-60,deudor,sin hijos,27000+,education,1
0,82.0,31,secondary education,1,married,0,M,employee,1,197462.7684380591,to buy a car,30-40,deudor,sin hijos,27000+,car,1
1,13.0,46,secondary education,1,married,0,M,employee,1,83436.99852805196,to own a car,40-50,deudor,con hijos,27000+,car,1
0,29.0,25,masters degree,0,civil partnership,1,F,partner,1,96830.6898491697,getting higher education,20-30,deudor,sin hijos,27000+,education,1
1,5.0,48,secondary education,1,married,0,F,employee,1,357802.5412242889,transactions with the residential real estate,40-50,deudor,con hijos,27000+,real estate,1
0,44.0,51,secondary education,1,married,0,M,employee,1,102789.92807252484,car purchase,50-60,deudor,sin hijos,27000+,car,1
1,127.0,37,primary education,3,civil partnership,1,F,civil servant,1,73471.52135832056,university education,30-40,deudor,con hijos,27000+,education,1
0,73.0,31,masters degree,0,married,0,F,partner,1,91136.46661338402,second-hand car purchase,30-40,deudor,sin hijos,27000+,car,1
0,52.0,22,bachelor degree,2,unmarried,4,M,partner,1,271305.4858538014,property,20-30,deudor,sin hijos,27000+,real estate,1
0,13746.0,63,secondary education,1,married,0,M,retiree,1,124378.69918483586,buying a second-hand car,60+,deudor,sin hijos,27000+,car,1
0,104.0,43,secondary education,1,married,0,F,employee,1,91367.00517215354,property,40-50,deudor,sin hijos,27000+,real estate,1
2,39.0,41,primary education,3,married,0,M,employee,1,129873.43977130527,buy residential real estate,40-50,deudor,con hijos,27000+,real estate,1
0,58.0,49,primary education,3,civil partnership,1,M,employee,1,86675.4563940305,purchase of the house for my family,40-50,deudor,sin hijos,27000+,real estate,1
0,72.0,53,secondary education,1,married,0,M,employee,1,144991.02976860726,supplementary education,50-60,deudor,sin hijos,27000+,education,1
2,195.0,43,secondary education,1,married,0,M,employee,1,153067.47116249698,building a property,40-50,deudor,con hijos,27000+,real estate,1
1,51.0,40,secondary education,1,married,0,F,partner,1,169399.81599356153,building a property,40-50,deudor,con hijos,27000+,real estate,1
0,17.0,20,secondary education,1,civil partnership,1,M,partner,1,124844.3984058759,purchase of the house,20-30,deudor,sin hijos,27000+,real estate,1
0,15.0,30,masters degree,0,civil partnership,1,F,partner,1,126024.2816396004,wedding ceremony,30-40,deudor,sin hijos,27000+,wedding,1
0,43.0,29,masters degree,0,civil partnership,1,F,partner,1,159034.65104741947,housing,20-30,deudor,sin hijos,27000+,real estate,1
0,262.0,46,secondary education,1,married,0,F,employee,1,142386.53776214938,purchase of the house for my family,40-50,deudor,sin hijos,27000+,real estate,1
0,101.0,46,secondary education,1,married,0,M,partner,1,116896.34618629629,profile education,40-50,deudor,sin hijos,27000+,education,1
0,127.0,62,masters degree,0,civil partnership,1,M,partner,1,147791.4397862054,having a wedding,60+,deudor,sin hijos,27000+,wedding,1
2,37.0,40,secondary education,1,married,0,M,employee,1,157752.80259271275,building a real estate,40-50,deudor,con hijos,27000+,real estate,1
0,117.0,33,secondary education,1,married,0,M,partner,1,156981.16891064288,purchase of the house,30-40,deudor,sin hijos,27000+,real estate,1
2,18.0,28,secondary education,1,married,0,F,employee,1,106658.78365823015,purchase of my own house,20-30,deudor,con hijos,27000+,real estate,1
0,28.0,22,secondary education,1,unmarried,4,F,partner,1,101781.22539561188,housing,20-30,deudor,sin hijos,27000+,real estate,1
1,106.0,45,masters degree,0,married,0,F,partner,1,347011.39233836177,to become educated,40-50,deudor,con hijos,27000+,education,1
0,13840.0,59,masters degree,0,married,0,F,retiree,1,198200.66874874925,buy commercial real estate,50-60,deudor,sin hijos,27000+,real estate,1
1,24.0,44,secondary education,1,married,0,M,employee,1,194579.3554352437,getting higher education,40-50,deudor,con hijos,27000+,education,1
0,13842.0,58,secondary education,1,married,0,F,retiree,1,145798.65609399017,to own a car,50-60,deudor,sin hijos,27000+,car,1
0,41.0,43,secondary education,1,civil partnership,1,M,employee,1,143302.99961358574,housing,40-50,deudor,sin hijos,27000+,real estate,1
2,89.0,33,masters degree,0,married,0,F,employee,1,147585.86093421894,purchase of my own house,30-40,deudor,con hijos,27000+,real estate,1
0,16176.0,52,masters degree,0,married,0,M,retiree,1,179937.10107735265,buy real estate,50-60,deudor,sin hijos,27000+,real estate,1
1,105.0,30,secondary education,1,civil partnership,1,F,civil servant,1,276740.27145391173,to own a car,30-40,deudor,con hijos,27000+,car,1
0,6.0,56,secondary education,1,civil partnership,1,F,partner,1,92923.97922368988,to have a wedding,50-60,deudor,sin hijos,27000+,wedding,1
0,152.0,47,secondary education,1,unmarried,4,F,civil servant,1,86657.35286292933,property,40-50,deudor,sin hijos,27000+,real estate,1
1,5.0,39,secondary education,1,civil partnership,1,M,employee,1,106940.0266697042,to own a car,30-40,deudor,con hijos,27000+,car,1
3,5.0,31,secondary education,1,unmarried,4,M,partner,1,156995.48108637554,buy residential real estate,30-40,deudor,con hijos,27000+,real estate,1
0,82.0,52,secondary education,1,married,0,M,partner,1,390148.020974259,buying property for renting out,50-60,deudor,sin hijos,27000+,real estate,1
0,260.0,59,masters degree,0,civil partnership,1,M,partner,1,220279.1019037972,to have a wedding,50-60,deudor,sin hijos,27000+,wedding,1
0,15703.0,68,secondary education,1,married,0,F,retiree,1,87918.5636571466,to become educated,60+,deudor,sin hijos,27000+,education,1
0,9.0,42,masters degree,0,civil partnership,1,M,employee,1,196147.27178754832,construction of own property,40-50,deudor,sin hijos,27000+,real estate,1
1,176.0,34,masters degree,0,married,0,M,employee,1,312833.8898879382,transactions with my real estate,30-40,deudor,con hijos,27000+,real estate,1
0,25.0,28,secondary education,1,unmarried,4,F,employee,1,139896.46241381837,purchase of my own house,20-30,deudor,sin hijos,27000+,real estate,1
0,14862.0,54,secondary education,1,married,0,F,retiree,1,142416.35204157876,to become educated,50-60,deudor,sin hijos,27000+,education,1
1,84.0,38,secondary education,1,civil partnership,1,F,employee,1,145777.51996063293,buying a second-hand car,30-40,deudor,con hijos,27000+,car,1
0,15349.0,46,secondary education,1,civil partnership,1,F,retiree,1,66147.90202508739,having a wedding,40-50,deudor,sin hijos,27000+,wedding,1
0,32.0,34,secondary education,1,married,0,M,partner,1,149821.41661561374,buy residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
1,10.0,31,secondary education,1,married,0,M,employee,1,150311.84836334444,purchase of the house,30-40,deudor,con hijos,27000+,real estate,1
2,71.0,46,masters degree,0,civil partnership,1,F,partner,1,360791.2025734781,to have a wedding,40-50,deudor,con hijos,27000+,wedding,1
2,71.0,40,secondary education,1,married,0,F,employee,1,83436.80719800715,getting higher education,40-50,deudor,con hijos,27000+,education,1
1,21.0,28,masters degree,0,unmarried,4,M,civil servant,1,185059.12545083227,second-hand car purchase,20-30,deudor,con hijos,27000+,car,1
0,516.0,56,secondary education,1,married,0,M,employee,1,128418.68056023357,getting higher education,50-60,deudor,sin hijos,27000+,education,1
0,325.0,55,secondary education,1,civil partnership,1,M,partner,1,134244.98342188328,building a real estate,50-60,deudor,sin hijos,27000+,real estate,1
0,39.0,31,secondary education,1,unmarried,4,F,partner,1,86537.15778983767,going to university,30-40,deudor,sin hijos,27000+,education,1
1,48.0,36,secondary education,1,married,0,M,employee,1,141728.467451818,car purchase,30-40,deudor,con hijos,27000+,car,1
1,14064.0,31,secondary education,1,married,0,M,unempoyed,1,59956.9919840117,buying property for renting out,30-40,deudor,con hijos,27000+,real estate,1
0,35.0,45,masters degree,0,married,0,M,employee,1,151072.73171593086,to get asupplementary education,40-50,deudor,sin hijos,27000+,education,1
1,108.0,49,secondary education,1,divorced,3,M,employee,1,95757.62589898262,housing transactions,40-50,deudor,con hijos,27000+,real estate,1
0,229.0,42,secondary education,1,married,0,M,civil servant,1,204518.82307913067,transactions with my real estate,40-50,deudor,sin hijos,27000+,real estate,1
2,77.0,50,secondary education,1,married,0,M,employee,1,264887.09460346674,buy real estate,50-60,deudor,con hijos,27000+,real estate,1
