children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,age_range,debt_name,children_range,income_range,purpose_classified,creditworthy
1,94.0,44,masters degree,0,married,0,M,employee,0,148992.03001020846,buying a second-hand car,40-50,no deudor,con hijos,27000+,car,0
0,30.0,43,masters degree,0,unmarried,4,F,employee,0,140843.97435987124,to own a car,40-50,no deudor,sin hijos,27000+,car,0
0,14988.0,61,masters degree,0,married,0,M,retiree,0,175127.64600043945,purchase of a car,60+,no deudor,sin hijos,27000+,car,0
0,137.0,27,secondary education,1,unmarried,4,M,partner,0,253681.70989067023,cars,20-30,no deudor,sin hijos,27000+,car,0
0,5.0,25,secondary education,1,unmarried,4,F,partner,0,82740.41289886518,purchase of a car,20-30,no deudor,sin hijos,27000+,car,0
0,8.0,33,secondary education,1,married,0,F,employee,0,110833.2153688148,profile education,30-40,no deudor,sin hijos,27000+,education,0
0,297.0,53,secondary education,1,married,0,F,civil servant,0,255909.1728015964,transactions with my real estate,50-60,no deudor,sin hijos,27000+,real estate,0
0,11.0,30,secondary education,1,married,0,M,employee,0,54123.55781196013,university education,30-40,no deudor,sin hijos,27000+,education,0
0,15997.0,64,secondary education,1,civil partnership,1,M,retiree,0,243033.4532808924,wedding ceremony,60+,no deudor,sin hijos,27000+,wedding,0
0,14069.0,53,secondary education,1,married,0,F,retiree,0,74363.8565543125,buying property for renting out,50-60,no deudor,sin hijos,27000+,real estate,0
0,15547.0,63,masters degree,0,civil partnership,1,F,retiree,0,206872.3500608577,having a wedding,60+,no deudor,sin hijos,27000+,wedding,0
0,3.0,42,secondary education,1,civil partnership,1,F,partner,0,49463.91938004758,second-hand car purchase,40-50,no deudor,sin hijos,27000+,car,0
2,209.0,39,secondary education,1,married,0,F,employee,0,155886.85657536547,buy real estate,30-40,no deudor,con hijos,27000+,real estate,0
1,70.0,40,masters degree,0,civil partnership,1,F,employee,0,191397.96274969063,to have a wedding,40-50,no deudor,con hijos,27000+,wedding,0
1,60.0,32,secondary education,1,married,0,M,employee,1,331139.5902983196,purchase of a car,30-40,deudor,con hijos,27000+,car,1
0,23.0,51,masters degree,0,married,0,F,employee,0,94187.8780821613,car,50-60,no deudor,sin hijos,27000+,car,0
0,15204.0,54,masters degree,0,married,0,F,retiree,0,199707.2985241309,buying property for renting out,50-60,no deudor,sin hijos,27000+,real estate,0
0,14439.0,43,secondary education,1,married,0,F,retiree,0,71291.52249055503,car,40-50,no deudor,sin hijos,27000+,car,0
0,25.0,49,secondary education,1,widow / widower,2,F,employee,1,176384.8825358073,real estate transactions,40-50,deudor,sin hijos,27000+,real estate,1
0,16315.0,65,secondary education,1,married,0,F,retiree,0,157970.48639320125,buying my own car,60+,no deudor,sin hijos,27000+,car,0
0,57.0,51,secondary education,1,civil partnership,1,F,partner,0,126706.59851264796,buying a second-hand car,50-60,no deudor,sin hijos,27000+,car,0
1,37.0,39,secondary education,1,unmarried,4,F,employee,0,142231.48942162484,building a property,30-40,no deudor,con hijos,27000+,real estate,0
0,15263.0,59,secondary education,1,unmarried,4,F,retiree,0,163581.95007326518,buying property for renting out,50-60,no deudor,sin hijos,27000+,real estate,0
0,87.0,62,secondary education,1,widow / widower,2,F,employee,0,76884.18758751624,construction of own property,60+,no deudor,sin hijos,27000+,real estate,0
1,12.0,29,secondary education,1,civil partnership,1,F,employee,0,171871.73288718596,education,20-30,no deudor,con hijos,27000+,education,0
0,62.0,24,masters degree,0,civil partnership,1,F,partner,0,202988.76912028992,construction of own property,20-30,no deudor,sin hijos,27000+,real estate,0
2,31.0,33,masters degree,0,civil partnership,1,F,employee,0,180051.75197761177,second-hand car purchase,30-40,no deudor,con hijos,27000+,car,0
0,89.0,59,secondary education,1,married,0,F,employee,0,107643.67560995698,education,50-60,no deudor,sin hijos,27000+,education,0
0,17.0,41,secondary education,1,married,0,M,civil servant,0,118551.6078291152,purchase of the house,40-50,no deudor,sin hijos,27000+,real estate,0
0,539.0,61,secondary education,1,unmarried,4,F,partner,0,173896.61827401767,property,60+,no deudor,sin hijos,27000+,real estate,0
1,77.0,28,masters degree,0,married,0,M,employee,0,280934.30586873967,property,20-30,no deudor,con hijos,27000+,real estate,0
0,253.0,52,secondary education,1,married,0,F,civil servant,0,120655.0982583378,education,50-60,no deudor,sin hijos,27000+,education,0
0,67.0,26,masters degree,0,married,0,F,employee,1,143471.7122774315,transactions with my real estate,20-30,deudor,sin hijos,27000+,real estate,1
1,105.0,38,masters degree,0,married,0,F,civil servant,0,97848.2766110214,transactions with the residential real estate,30-40,no deudor,con hijos,27000+,real estate,0
1,22.0,50,secondary education,1,married,0,M,employee,0,83366.31969915295,buy residential real estate,50-60,no deudor,con hijos,27000+,real estate,0
0,159.0,41,secondary education,1,divorced,3,F,employee,0,178975.13357434978,to buy a car,40-50,no deudor,sin hijos,27000+,car,0
2,116.0,33,secondary education,1,civil partnership,1,M,partner,0,113572.21337646277,having a wedding,30-40,no deudor,con hijos,27000+,wedding,0
0,15925.0,60,secondary education,1,unmarried,4,F,retiree,0,31534.750497334928,buy commercial real estate,60+,no deudor,sin hijos,27000+,real estate,0
0,7.0,55,masters degree,0,married,0,F,partner,0,103628.07085383665,cars,50-60,no deudor,sin hijos,27000+,car,0
2,238.0,39,secondary education,1,married,0,M,employee,0,83892.81598726273,buying property for renting out,30-40,no deudor,con hijos,27000+,real estate,0
0,45.0,38,secondary education,1,married,0,F,employee,1,175046.42251455868,transactions with the residential real estate,30-40,deudor,sin hijos,27000+,real estate,1
0,8.0,64,masters degree,0,civil partnership,1,F,partner,0,186408.7418299351,wedding ceremony,60+,no deudor,sin hijos,27000+,wedding,0
1,103.0,49,secondary education,1,married,0,M,partner,0,339517.3610727709,construction of own property,40-50,no deudor,con hijos,27000+,real estate,0
0,218.0,43,masters degree,0,unmarried,4,F,employee,0,203279.59982532423,building a real estate,40-50,no deudor,sin hijos,27000+,real estate,0
0,15793.0,67,secondary education,1,divorced,3,F,retiree,0,112331.78706716756,purchase of a car,60+,no deudor,sin hijos,27000+,car,0
0,15042.0,61,secondary education,1,civil partnership,1,M,retiree,0,103644.93254718713,car,60+,no deudor,sin hijos,27000+,car,0
0,37.0,42,secondary education,1,married,0,F,partner,0,95845.74470717036,transactions with my real estate,40-50,no deudor,sin hijos,27000+,real estate,0
0,27.0,58,secondary education,1,married,0,M,employee,0,73637.58619017908,to get asupplementary education,50-60,no deudor,sin hijos,27000+,education,0
1,54.0,45,secondary education,1,married,0,M,employee,0,246227.99254138197,car,40-50,no deudor,con hijos,27000+,car,0
0,14354.0,64,secondary education,1,married,0,F,retiree,0,79047.6530585805,education,60+,no deudor,sin hijos,27000+,education,0
1,174.0,46,bachelor degree,2,divorced,3,F,employee,0,166015.79050422882,buy residential real estate,40-50,no deudor,con hijos,27000+,real estate,0
0,14912.0,60,primary education,3,married,0,M,retiree,0,113124.20278145476,transactions with my real estate,60+,no deudor,sin hijos,27000+,real estate,0
1,80.0,28,masters degree,0,civil partnership,1,M,employee,0,269423.96295991854,to have a wedding,20-30,no deudor,con hijos,27000+,wedding,0
0,107.0,43,secondary education,1,married,0,F,civil servant,0,119827.6542453248,purchase of my own house,40-50,no deudor,sin hijos,27000+,real estate,0
0,74.0,29,bachelor degree,2,married,0,M,partner,0,196932.07728901436,property renovation,20-30,no deudor,sin hijos,27000+,real estate,0
0,126.0,24,secondary education,1,civil partnership,1,F,employee,0,102110.98914883527,buy commercial real estate,20-30,no deudor,sin hijos,27000+,real estate,0
0,14498.0,54,secondary education,1,married,0,F,retiree,0,108280.64485742812,second-hand car purchase,50-60,no deudor,sin hijos,27000+,car,0
0,79.0,48,secondary education,1,widow / widower,2,F,employee,0,151069.43847035486,construction of own property,40-50,no deudor,sin hijos,27000+,real estate,0
1,88.0,45,secondary education,1,civil partnership,1,F,employee,0,284248.0832952967,to own a car,40-50,no deudor,con hijos,27000+,car,0
0,54.0,46,secondary education,1,married,0,F,employee,0,98709.73054718717,purchase of the house,40-50,no deudor,sin hijos,27000+,real estate,0
0,240.0,47,secondary education,1,married,0,F,civil servant,1,74535.09733065074,real estate transactions,40-50,deudor,sin hijos,27000+,real estate,1
0,210.0,37,secondary education,1,married,0,F,employee,0,145159.21497712686,buying my own car,30-40,no deudor,sin hijos,27000+,car,0
0,111.0,43,secondary education,1,divorced,3,F,employee,0,70176.43595051017,housing transactions,40-50,no deudor,sin hijos,27000+,real estate,0
0,16405.0,71,secondary education,1,civil partnership,1,F,retiree,0,174088.29322065786,to have a wedding,60+,no deudor,sin hijos,27000+,wedding,0
0,37.0,37,masters degree,0,civil partnership,1,F,partner,0,463089.9792084557,to have a wedding,30-40,no deudor,sin hijos,27000+,wedding,0
1,150.0,39,secondary education,1,married,0,F,partner,0,40891.12824378687,purchase of my own house,30-40,no deudor,con hijos,27000+,real estate,0
1,6.0,20,secondary education,1,married,0,M,partner,1,134750.74951489054,housing,20-30,deudor,con hijos,27000+,real estate,1
1,75.0,41,masters degree,0,widow / widower,2,F,employee,0,143113.3292930616,transactions with the residential real estate,40-50,no deudor,con hijos,27000+,real estate,0
0,50.0,40,secondary education,1,married,0,F,partner,0,70788.33944690305,supplementary education,40-50,no deudor,sin hijos,27000+,education,0
0,15099.0,65,secondary education,1,married,0,M,retiree,0,261291.0364533132,to get asupplementary education,60+,no deudor,sin hijos,27000+,education,0
0,14517.0,38,secondary education,1,married,0,F,retiree,1,113560.65003534064,purchase of a car,30-40,deudor,sin hijos,27000+,car,1
0,458.0,56,secondary education,1,married,0,F,employee,0,80547.23925773834,education,50-60,no deudor,sin hijos,27000+,education,0
0,15460.0,59,secondary education,1,unmarried,4,F,retiree,0,149542.8588742301,buying my own car,50-60,no deudor,sin hijos,27000+,car,0
0,86.0,45,secondary education,1,civil partnership,1,M,employee,0,198386.798958856,buying property for renting out,40-50,no deudor,sin hijos,27000+,real estate,0
1,48.0,39,masters degree,0,married,0,F,employee,0,87107.11820547588,car purchase,30-40,no deudor,con hijos,27000+,car,0
0,156.0,62,secondary education,1,married,0,M,employee,0,66577.61712641187,to get asupplementary education,60+,no deudor,sin hijos,27000+,education,0
0,311.0,50,secondary education,1,married,0,M,employee,0,78975.57711163633,property renovation,50-60,no deudor,sin hijos,27000+,real estate,0
2,98.0,27,masters degree,0,married,0,F,employee,1,369587.0876962028,buying my own car,20-30,deudor,con hijos,27000+,car,1
2,53.0,32,masters degree,0,married,0,M,civil servant,0,228289.248361869,purchase of the house,30-40,no deudor,con hijos,27000+,real estate,0
0,19.0,38,secondary education,1,civil partnership,1,M,employee,0,144073.71137831223,housing transactions,30-40,no deudor,sin hijos,27000+,real estate,0
0,301.0,56,secondary education,1,civil partnership,1,F,civil servant,0,220719.05505659032,having a wedding,50-60,no deudor,sin hijos,27000+,wedding,0
0,15082.0,67,secondary education,1,widow / widower,2,F,retiree,0,139038.94464450798,purchase of my own house,60+,no deudor,sin hijos,27000+,real estate,0
0,15505.0,58,secondary education,1,civil partnership,1,F,retiree,0,167861.70077631506,car purchase,50-60,no deudor,sin hijos,27000+,car,0
0,8.0,28,masters degree,0,unmarried,4,M,employee,0,121721.8927765662,housing,20-30,no deudor,sin hijos,27000+,real estate,0
0,399.0,60,secondary education,1,civil partnership,1,F,partner,0,225197.795335085,having a wedding,60+,no deudor,sin hijos,27000+,wedding,0
0,194.0,49,secondary education,1,married,0,F,employee,0,182980.11560336116,building a property,40-50,no deudor,sin hijos,27000+,real estate,0
0,379.0,49,secondary education,1,married,0,M,partner,0,416461.874680372,buy commercial real estate,40-50,no deudor,sin hijos,27000+,real estate,0
2,72.0,38,secondary education,1,married,0,F,employee,0,141210.68421368927,building a property,30-40,no deudor,con hijos,27000+,real estate,0
0,15174.0,60,secondary education,1,married,0,F,retiree,0,104621.06741141542,going to university,60+,no deudor,sin hijos,27000+,education,0
2,88.0,48,secondary education,1,married,0,M,civil servant,0,173074.19294233265,second-hand car purchase,40-50,no deudor,con hijos,27000+,car,0
0,16489.0,59,secondary education,1,widow / widower,2,F,retiree,0,87268.77878594003,car purchase,50-60,no deudor,sin hijos,27000+,car,0
0,49.0,43,secondary education,1,unmarried,4,F,employee,0,177790.01385692504,purchase of my own house,40-50,no deudor,sin hijos,27000+,real estate,0
0,2.0,37,secondary education,1,civil partnership,1,F,employee,0,212257.2125065801,to have a wedding,30-40,no deudor,sin hijos,27000+,wedding,0
1,340.0,49,secondary education,1,civil partnership,1,F,employee,0,81419.70340277969,wedding ceremony,40-50,no deudor,con hijos,27000+,wedding,0
1,7.0,35,masters degree,0,civil partnership,1,M,partner,1,272193.00295690284,to get asupplementary education,30-40,deudor,con hijos,27000+,education,1
0,15403.0,57,masters degree,0,married,0,M,retiree,0,141337.86704165823,buying property for renting out,50-60,no deudor,sin hijos,27000+,real estate,0
0,209.0,32,secondary education,1,civil partnership,1,M,employee,1,160905.70703999972,to get asupplementary education,30-40,deudor,sin hijos,27000+,education,1
0,9.0,34,secondary education,1,divorced,3,F,employee,0,201650.35527091235,transactions with the residential real estate,30-40,no deudor,sin hijos,27000+,real estate,0
0,36.0,46,masters degree,0,civil partnership,1,F,employee,0,260037.6656030533,university education,40-50,no deudor,sin hijos,27000+,education,0
0,4.0,48,secondary education,1,married,0,M,employee,0,173544.6795225835,purchase of my own house,40-50,no deudor,sin hijos,27000+,real estate,0
0,14.0,26,secondary education,1,civil partnership,1,M,partner,0,160891.47206000533,having a wedding,20-30,no deudor,sin hijos,27000+,wedding,0
0,14023.0,60,secondary education,1,married,0,F,retiree,0,173948.35223498062,university education,60+,no deudor,sin hijos,27000+,education,0
0,107.0,47,secondary education,1,married,0,M,employee,0,218442.0077563275,to own a car,40-50,no deudor,sin hijos,27000+,car,0
0,16097.0,60,masters degree,0,divorced,3,F,retiree,0,97191.99640027812,buying a second-hand car,60+,no deudor,sin hijos,27000+,car,0
0,4.0,24,secondary education,1,civil partnership,1,M,partner,0,135860.8870305674,getting an education,20-30,no deudor,sin hijos,27000+,education,0
0,5.0,51,secondary education,1,married,0,F,employee,0,255838.3616801636,supplementary education,50-60,no deudor,sin hijos,27000+,education,0
0,66.0,37,masters degree,0,married,0,F,partner,0,160754.5480823424,purchase of my own house,30-40,no deudor,sin hijos,27000+,real estate,0
0,506.0,59,masters degree,0,married,0,F,employee,0,140849.62459987565,buy real estate,50-60,no deudor,sin hijos,27000+,real estate,0
0,58.0,52,secondary education,1,unmarried,4,F,partner,0,139169.41346167913,buying my own car,50-60,no deudor,sin hijos,27000+,car,0
1,9.0,23,secondary education,1,widow / widower,2,F,employee,0,58549.627394318864,second-hand car purchase,20-30,no deudor,con hijos,27000+,car,0
0,230.0,41,secondary education,1,civil partnership,1,F,employee,0,201126.0474025323,building a property,40-50,no deudor,sin hijos,27000+,real estate,0
0,273.0,39,secondary education,1,married,0,F,partner,0,86996.80722956106,buy residential real estate,30-40,no deudor,sin hijos,27000+,real estate,0
1,66.0,38,secondary education,1,married,0,F,employee,1,90960.94119189213,buy residential real estate,30-40,deudor,con hijos,27000+,real estate,1
0,118.0,56,secondary education,1,married,0,M,employee,0,163774.77340601108,construction of own property,50-60,no deudor,sin hijos,27000+,real estate,0
0,13943.0,61,secondary education,1,married,0,F,retiree,0,181307.7994224636,building a real estate,60+,no deudor,sin hijos,27000+,real estate,0
0,15164.0,54,secondary education,1,married,0,F,retiree,0,267172.7091996921,getting an education,50-60,no deudor,sin hijos,27000+,education,0
0,56.0,37,secondary education,1,unmarried,4,F,employee,0,112735.87896430984,purchase of my own house,30-40,no deudor,sin hijos,27000+,real estate,0
0,31.0,22,secondary education,1,civil partnership,1,M,partner,0,162492.01844851565,profile education,20-30,no deudor,sin hijos,27000+,education,0
2,11.0,38,masters degree,0,married,0,F,employee,0,195133.38745708505,transactions with the residential real estate,30-40,no deudor,con hijos,27000+,real estate,0
2,14257.0,55,primary education,3,widow / widower,2,F,retiree,0,160635.12034694868,building a real estate,50-60,no deudor,con hijos,27000+,real estate,0
0,24.0,41,primary education,3,civil partnership,1,F,employee,0,36649.0784390092,second-hand car purchase,40-50,no deudor,sin hijos,27000+,car,0
0,244.0,48,masters degree,0,unmarried,4,M,civil servant,0,239697.6161592209,car purchase,40-50,no deudor,sin hijos,27000+,car,0
1,29.0,38,masters degree,0,civil partnership,1,M,employee,1,231389.8327944069,to buy a car,30-40,deudor,con hijos,27000+,car,1
2,55.0,41,bachelor degree,2,married,0,F,employee,0,314546.9933727884,purchase of the house for my family,40-50,no deudor,con hijos,27000+,real estate,0
0,3.0,42,masters degree,0,unmarried,4,F,partner,0,260465.3944997188,real estate transactions,40-50,no deudor,sin hijos,27000+,real estate,0
0,15.0,22,masters degree,0,civil partnership,1,F,employee,0,118757.77013512445,education,20-30,no deudor,sin hijos,27000+,education,0
0,16024.0,54,secondary education,1,civil partnership,1,F,retiree,0,269589.0051292617,construction of own property,50-60,no deudor,sin hijos,27000+,real estate,0
1,122.0,34,secondary education,1,married,0,F,employee,1,213214.0924519784,buying my own car,30-40,deudor,con hijos,27000+,car,1
0,25.0,21,bachelor degree,2,civil partnership,1,F,partner,0,86954.92246460478,transactions with the residential real estate,20-30,no deudor,sin hijos,27000+,real estate,0
0,15990.0,65,secondary education,1,widow / widower,2,F,retiree,0,178464.0801124702,cars,60+,no deudor,sin hijos,27000+,car,0
0,6.0,32,masters degree,0,married,0,M,partner,0,188982.6725700104,buy residential real estate,30-40,no deudor,sin hijos,27000+,real estate,0
0,14070.0,61,secondary education,1,divorced,3,F,retiree,0,110251.170412476,transactions with the residential real estate,60+,no deudor,sin hijos,27000+,real estate,0
2,43.0,41,secondary education,1,married,0,F,partner,0,94587.13139055832,purchase of my own house,40-50,no deudor,con hijos,27000+,real estate,0
0,18.0,52,secondary education,1,married,0,F,employee,0,153892.26560479988,building a property,50-60,no deudor,sin hijos,27000+,real estate,0
1,86.0,30,secondary education,1,married,0,F,civil servant,0,132754.36261306456,getting higher education,30-40,no deudor,con hijos,27000+,education,0
1,66.0,64,masters degree,0,civil partnership,1,F,employee,0,142424.64353092152,housing,60+,no deudor,con hijos,27000+,real estate,0
0,14133.0,60,secondary education,1,unmarried,4,F,retiree,0,190426.12751817648,property renovation,60+,no deudor,sin hijos,27000+,real estate,0
0,14031.0,73,secondary education,1,widow / widower,2,F,retiree,0,136897.0083753175,second-hand car purchase,60+,no deudor,sin hijos,27000+,car,0
1,85.0,28,secondary education,1,civil partnership,1,M,partner,1,188585.6447572717,wedding ceremony,20-30,deudor,con hijos,27000+,wedding,1
1,6.0,41,secondary education,1,married,0,F,employee,1,112090.59753315602,purchase of the house for my family,40-50,deudor,con hijos,27000+,real estate,1
